Accession,genome_count_A,genome_count_B,absent_count_A,absent_count_B,total_genomes_A,total_genomes_B,freq_A,freq_B,odds_ratio_A_vs_B,p_value,freq_difference_A_minus_B,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,enriched_clade
VFG000211(gb|NP_250407),8682,2839,58,0,8740,2839,0.9933638443935927,1,0,1.0916438361928527e-7,-0.00663615560640729,0.00663615560640729,1.0066804883667357,7.014652549653793e-7,TRUE,Clade_B
VFG015146(gb|WP_003140040),8682,2839,58,0,8740,2839,0.9933638443935927,1,0,1.0916438361928527e-7,-0.00663615560640729,0.00663615560640729,1.0066804883667357,7.014652549653793e-7,TRUE,Clade_B
VFG019968(gb|WP_012614295),8682,2839,58,0,8740,2839,0.9933638443935927,1,0,1.0916438361928527e-7,-0.00663615560640729,0.00663615560640729,1.0066804883667357,7.014652549653793e-7,TRUE,Clade_B
VFG000212(gb|NP_250408),8683,2839,57,0,8740,2839,0.9934782608695653,1,0,1.7864083600445352e-7,-0.006521739130434745,0.006521739130434745,1.0065645514223194,1.0755960047092292e-6,TRUE,Clade_B
VFG015148(gb|WP_003132859),8683,2839,57,0,8740,2839,0.9934782608695653,1,0,1.7864083600445352e-7,-0.006521739130434745,0.006521739130434745,1.0065645514223194,1.0755960047092292e-6,TRUE,Clade_B
VFG019969(gb|WP_012614294),8683,2839,57,0,8740,2839,0.9934782608695653,1,0,1.7864083600445352e-7,-0.006521739130434745,0.006521739130434745,1.0065645514223194,1.0755960047092292e-6,TRUE,Clade_B
VFG041012(gb|NP_250202),8650,2835,90,4,8740,2839,0.9897025171624714,0.9985910531877422,0.13561857443993933,1.9388503615548035e-7,-0.008888536025270843,0.008888536025270843,1.0089810179029903,1.1582611274496664e-6,TRUE,Clade_B
VFG051491(gb|WP_011666716.1),8650,2835,90,4,8740,2839,0.9897025171624714,0.9985910531877422,0.13561857443993933,1.9388503615548035e-7,-0.008888536025270843,0.008888536025270843,1.0089810179029903,1.1582611274496664e-6,TRUE,Clade_B
VFG051489(gb|WP_003083217.1),8649,2835,91,4,8740,2839,0.9895881006864988,0.9985910531877422,0.13411280603801687,2.074331760772399e-7,-0.009002952501243389,0.009002952501243389,1.0090976765939261,1.2201325792850985e-6,TRUE,Clade_B
VFG051652(gb|WP_012075685.1),8569,2820,171,19,8740,2839,0.9804347826086957,0.9933075026417753,0.3376347014978907,5.717856058902396e-7,-0.012872720033079599,0.012872720033079599,1.0131296035814115,2.8452845551240993e-6,TRUE,Clade_B
VFG029696(gb|WP_014942395),2296,883,6444,1956,8740,2839,0.26270022883295197,0.3110250088059176,0.7893117914881366,6.900122411443791e-7,-0.04832477997296564,0.04832477997296564,1.183954084043432,3.3394263316143577e-6,TRUE,Clade_B
VFG029699(gb|WP_014385156),2296,883,6444,1956,8740,2839,0.26270022883295197,0.3110250088059176,0.7893117914881366,6.900122411443791e-7,-0.04832477997296564,0.04832477997296564,1.183954084043432,3.3394263316143577e-6,TRUE,Clade_B
VFG029700(gb|WP_014380392),2296,883,6444,1956,8740,2839,0.26270022883295197,0.3110250088059176,0.7893117914881366,6.900122411443791e-7,-0.04832477997296564,0.04832477997296564,1.183954084043432,3.3394263316143577e-6,TRUE,Clade_B
VFG015048(gb|WP_003119559),10,20,8730,2819,8740,2839,0.0011441647597254005,0.007044734061289186,0.1614862363171316,1.2636777982590447e-6,-0.005900569301563786,0.005900569301563786,6.157097569566749,5.774655117940735e-6,TRUE,Clade_B
VFG051487(gb|NP_248953.1),8651,2834,89,5,8740,2839,0.9898169336384439,0.9982388164846777,0.17150659063949894,1.4268929109607155e-6,-0.008421882846233797,0.008421882846233797,1.0085085257283648,6.36827303063012e-6,TRUE,Clade_B
VFG051593(gb|WP_012613476.1),8651,2834,89,5,8740,2839,0.9898169336384439,0.9982388164846777,0.17150659063949894,1.4268929109607155e-6,-0.008421882846233797,0.008421882846233797,1.0085085257283648,6.36827303063012e-6,TRUE,Clade_B
VFG051596(gb|WP_003137141.1),8651,2834,89,5,8740,2839,0.9898169336384439,0.9982388164846777,0.17150659063949894,1.4268929109607155e-6,-0.008421882846233797,0.008421882846233797,1.0085085257283648,6.36827303063012e-6,TRUE,Clade_B
VFG044091(gb|NP_252096),8682,2838,58,1,8740,2839,0.9933638443935927,0.9996477632969355,0.0527503978232728,2.0918232716499087e-6,-0.006283918903342789,0.006283918903342789,1.0063258985504742,9.0200048593325e-6,TRUE,Clade_B
VFG030408(gb|WP_015355418),0,9,8740,2830,8740,2839,0,0.0031701303275801338,0,3.1716630891228027e-6,-0.0031701303275801338,0.0031701303275801338,Inf,1.3228718411723109e-5,TRUE,Clade_B
VFG000203(gb|NP_250399),8695,2839,45,0,8740,2839,0.9948512585812357,1,0,5.003172774994941e-6,-0.005148741418764313,0.005148741418764313,1.0051753881541117,2.056859918609031e-5,TRUE,Clade_B
VFG015130(gb|WP_003087710),8695,2839,45,0,8740,2839,0.9948512585812357,1,0,5.003172774994941e-6,-0.005148741418764313,0.005148741418764313,1.0051753881541117,2.056859918609031e-5,TRUE,Clade_B
VFG019961(gb|WP_004342870),8695,2839,45,0,8740,2839,0.9948512585812357,1,0,5.003172774994941e-6,-0.005148741418764313,0.005148741418764313,1.0051753881541117,2.056859918609031e-5,TRUE,Clade_B
VFG015973(gb|NP_251082),3051,1124,5689,1715,8740,2839,0.34908466819221967,0.39591405424445225,0.8183090149264464,7.5293409436943375e-6,-0.04682938605223258,0.04682938605223258,1.1341490770555598,3.0143644196919393e-5,TRUE,Clade_B
VFG015975(gb|WP_003139293),3051,1124,5689,1715,8740,2839,0.34908466819221967,0.39591405424445225,0.8183090149264464,7.5293409436943375e-6,-0.04682938605223258,0.04682938605223258,1.1341490770555598,3.0143644196919393e-5,TRUE,Clade_B
VFG044090(gb|NP_252095),8687,2838,53,1,8740,2839,0.9939359267734553,0.9996477632969355,0.0577600416379289,8.301733945414427e-6,-0.005711836523480174,0.005711836523480174,1.005746684841167,3.3178009879408875e-5,TRUE,Clade_B
VFG014240(gb|WP_003082169),8631,2829,109,10,8740,2839,0.9875286041189931,0.9964776329693554,0.27991138908550584,8.35614250102857e-6,-0.008949028850362306,0.008949028850362306,1.0090620452035879,3.333737547366876e-5,TRUE,Clade_B
VFG000198(gb|NP_250394),8696,2839,44,0,8740,2839,0.9949656750572082,1,0,8.672821596139983e-6,-0.005034324942791768,0.005034324942791768,1.0050597976080957,3.412599098035184e-5,TRUE,Clade_B
VFG015120(gb|WP_003087696),8696,2839,44,0,8740,2839,0.9949656750572082,1,0,8.672821596139983e-6,-0.005034324942791768,0.005034324942791768,1.0050597976080957,3.412599098035184e-5,TRUE,Clade_B
VFG019957(gb|WP_003087696),8696,2839,44,0,8740,2839,0.9949656750572082,1,0,8.672821596139983e-6,-0.005034324942791768,0.005034324942791768,1.0050597976080957,3.412599098035184e-5,TRUE,Clade_B
VFG016032(gb|WP_011666646),2948,1088,5792,1751,8740,2839,0.33729977116704807,0.38323353293413176,0.8191621073140467,8.858057857429236e-6,-0.04593376176708369,0.04593376176708369,1.1361808269485452,3.4795179323531964e-5,TRUE,Clade_B
VFG000161(gb|NP_251089),2949,1088,5791,1751,8740,2839,0.3374141876430206,0.38323353293413176,0.8195813678447402,9.813130791712376e-6,-0.045819345291111147,0.045819345291111147,1.1357955503032593,3.8352496282109444e-5,TRUE,Clade_B
VFG013733(gb|WP_003854229),0,8,8740,2831,8740,2839,0,0.0028178936245156746,0,1.2963374639434812e-5,-0.0028178936245156746,0.0028178936245156746,Inf,4.972906592452083e-5,TRUE,Clade_B
VFG000163(gb|NP_251088),2945,1085,5795,1754,8740,2839,0.33695652173913043,0.38217682282493837,0.8215709855990909,1.3294850970525633e-5,-0.045220301085807935,0.045220301085807935,1.1342021838675591,5.078722184579306e-5,TRUE,Clade_B
VFG016095(gb|WP_003139291),2945,1085,5795,1754,8740,2839,0.33695652173913043,0.38217682282493837,0.8215709855990909,1.3294850970525633e-5,-0.045220301085807935,0.045220301085807935,1.1342021838675591,5.078722184579306e-5,TRUE,Clade_B
VFG000160(gb|NP_251087),2946,1085,5794,1754,8740,2839,0.337070938215103,0.38217682282493837,0.8219916903338086,1.3327771382374639e-5,-0.04510588460983539,0.04510588460983539,1.133817186520693,5.078722184579306e-5,TRUE,Clade_B
VFG016022(gb|WP_003103601),2946,1085,5794,1754,8740,2839,0.337070938215103,0.38217682282493837,0.8219916903338086,1.3327771382374639e-5,-0.04510588460983539,0.04510588460983539,1.133817186520693,5.078722184579306e-5,TRUE,Clade_B
VFG000192(gb|NP_250388),8698,2839,42,0,8740,2839,0.9951945080091533,1,0,1.3411005969448273e-5,-0.0048054919908466776,0.0048054919908466776,1.0048286962520119,5.085098792382535e-5,TRUE,Clade_B
VFG015108(gb|WP_003100796),8698,2839,42,0,8740,2839,0.9951945080091533,1,0,1.3411005969448273e-5,-0.0048054919908466776,0.0048054919908466776,1.0048286962520119,5.085098792382535e-5,TRUE,Clade_B
VFG019951(gb|WP_012614296),8698,2839,42,0,8740,2839,0.9951945080091533,1,0,1.3411005969448273e-5,-0.0048054919908466776,0.0048054919908466776,1.0048286962520119,5.085098792382535e-5,TRUE,Clade_B
VFG016038(gb|NP_251090),2964,1087,5776,1752,8740,2839,0.3391304347826087,0.38288129623106726,0.8271193155872366,2.510739702299428e-5,-0.04375086144845858,0.04375086144845858,1.1290089504249419,9.21541900331982e-5,TRUE,Clade_B
VFG016040(gb|WP_078463717),2964,1087,5776,1752,8740,2839,0.3391304347826087,0.38288129623106726,0.8271193155872366,2.510739702299428e-5,-0.04375086144845858,0.04375086144845858,1.1290089504249419,9.21541900331982e-5,TRUE,Clade_B
VFG000148(gb|NP_248734),8692,2838,48,1,8740,2839,0.994508009153318,0.9996477632969355,0.06381334808607295,3.284795790096813e-5,-0.005139754143617448,0.005139754143617448,1.005168137507503,1.1847989846669953e-4,TRUE,Clade_B
VFG015168(gb|WP_003136948),8692,2838,48,1,8740,2839,0.994508009153318,0.9996477632969355,0.06381334808607295,3.284795790096813e-5,-0.005139754143617448,0.005139754143617448,1.005168137507503,1.1847989846669953e-4,TRUE,Clade_B
VFG019979(gb|WP_012613430),8692,2838,48,1,8740,2839,0.994508009153318,0.9996477632969355,0.06381334808607295,3.284795790096813e-5,-0.005139754143617448,0.005139754143617448,1.005168137507503,1.1847989846669953e-4,TRUE,Clade_B
VFG014832(gb|WP_012074764),8661,2833,79,6,8740,2839,0.9909610983981694,0.9978865797816132,0.23220520309537723,3.9478204249698064e-5,-0.006925481383443843,0.006925481383443843,1.0069886511131854,1.4106386378318905e-4,TRUE,Clade_B
VFG015547(gb|WP_003093617),8604,2822,136,17,8740,2839,0.9844393592677345,0.9940119760479041,0.38111618674803915,3.993455802167099e-5,-0.00957261678016963,0.00957261678016963,1.009723927319698,1.4247259113796775e-4,TRUE,Clade_B
VFG014075(gb|WP_004365048),8687,2837,53,2,8740,2839,0.9939359267734553,0.9992955265938711,0.11555943912205971,5.345311543103705e-5,-0.0053595998204157835,0.0053595998204157835,1.0053922991171214,1.8749456697064067e-4,TRUE,Clade_B
VFG051488(gb|NP_253776.1),8703,2839,37,0,8740,2839,0.995766590389016,1,0,5.6801885076933185e-5,-0.004233409610983951,0.004233409610983951,1.0042514075606113,1.983310873158063e-4,TRUE,Clade_B
VFG044093(gb|NP_252098),8689,2837,51,2,8740,2839,0.9941647597254004,0.9992955265938711,0.12011870229655833,8.218432609888475e-5,-0.005130766868470693,0.005130766868470693,1.0051608818541182,2.760334466630185e-4,TRUE,Clade_B
VFG014423(gb|WP_003082212),8705,2839,35,0,8740,2839,0.9959954233409611,1,0,8.904789583921913e-5,-0.004004576659038861,0.004004576659038861,1.0040206777713958,2.9648167351983845e-4,TRUE,Clade_B
VFG049248(gb|WP_123809090),3,10,8737,2829,8740,2839,3.4324942791762013e-4,0.003522367030644593,0.09717028883829543,1.0457012204715482e-4,-0.003179117602726973,0.003179117602726973,10.261829282611249,3.471546454069076e-4,TRUE,Clade_B
VFG048839(gb|WP_041937831),2,9,8738,2830,8740,2839,2.288329519450801e-4,0.0031701303275801338,0.07199214526364417,1.0617567157647108e-4,-0.0029412973756350537,0.0029412973756350537,13.853469531525183,3.514675188981597e-4,TRUE,Clade_B
VFG015372(gb|WP_011979123),8697,2838,43,1,8740,2839,0.9950800915331808,0.9996477632969355,0.07127437958378512,1.2946875452019582e-4,-0.0045676717637547215,0.0045676717637547215,1.004590255400163,4.2428760409904176e-4,TRUE,Clade_B
VFG019833(gb|WP_003082212),8697,2838,43,1,8740,2839,0.9950800915331808,0.9996477632969355,0.07127437958378512,1.2946875452019582e-4,-0.0045676717637547215,0.0045676717637547215,1.004590255400163,4.2428760409904176e-4,TRUE,Clade_B
VFG051497(gb|WP_012074519.1),7300,2454,1440,385,8740,2839,0.8352402745995423,0.8643888693201832,0.7953720095590736,1.8664837544901262e-4,-0.029148594720640908,0.029148594720640908,1.0348984545011508,6.056172182178712e-4,TRUE,Clade_B
VFG038432(gb|WP_016352168),0,6,8740,2833,8740,2839,0,0.0021134202183867557,0,2.1638772791485072e-4,-0.0021134202183867557,0.0021134202183867557,Inf,6.99145701178405e-4,TRUE,Clade_B
VFG038433(gb|WP_005314160),0,6,8740,2833,8740,2839,0,0.0021134202183867557,0,2.1638772791485072e-4,-0.0021134202183867557,0.0021134202183867557,Inf,6.99145701178405e-4,TRUE,Clade_B
VFG042705(gb|NP_249684),7727,2578,1013,261,8740,2839,0.8840961098398169,0.9080662205001762,0.7722913992355979,3.292117794867407e-4,-0.023970110660359256,0.023970110660359256,1.0271125620773314,0.0010562403106889277,TRUE,Clade_B
VFG044089(gb|NP_252094),8689,2836,51,3,8740,2839,0.9941647597254004,0.9989432898908066,0.180238746710486,3.88437789039235e-4,-0.004778530165406192,0.004778530165406192,1.0048065777011912,0.0012427842232301325,TRUE,Clade_B
VFG001230(gb|NP_251805),8684,2835,56,4,8740,2839,0.9935926773455378,0.9985910531877422,0.21881001103938996,4.61760016046517e-4,-0.004998375842204417,0.004998375842204417,1.0050306085744896,0.0014712187177926526,TRUE,Clade_B
VFG013973(gb|WP_003138501),8684,2835,56,4,8740,2839,0.9935926773455378,0.9985910531877422,0.21881001103938996,4.61760016046517e-4,-0.004998375842204417,0.004998375842204417,1.0050306085744896,0.0014712187177926526,TRUE,Clade_B
VFG019758(gb|WP_012613878),8684,2835,56,4,8740,2839,0.9935926773455378,0.9985910531877422,0.21881001103938996,4.61760016046517e-4,-0.004998375842204417,0.004998375842204417,1.0050306085744896,0.0014712187177926526,TRUE,Clade_B
VFG002058(gb|NP_248762),8703,2838,37,1,8740,2839,0.995766590389016,0.9996477632969355,0.08288934290490224,4.740338650558424e-4,-0.00388117290791945,0.00388117290791945,1.0038976733557643,0.0015040576575907365,TRUE,Clade_B
VFG015373(gb|WP_003136958),8703,2838,37,1,8740,2839,0.995766590389016,0.9996477632969355,0.08288934290490224,4.740338650558424e-4,-0.00388117290791945,0.00388117290791945,1.0038976733557643,0.0015040576575907365,TRUE,Clade_B
VFG019983(gb|WP_003083634),8703,2838,37,1,8740,2839,0.995766590389016,0.9996477632969355,0.08288934290490224,4.740338650558424e-4,-0.00388117290791945,0.00388117290791945,1.0038976733557643,0.0015040576575907365,TRUE,Clade_B
VFG016016(gb|NP_251086),2760,997,5980,1842,8740,2839,0.3157894736842105,0.3511799929552659,0.8527322418299853,4.942567630505816e-4,-0.03539051927105541,0.03539051927105541,1.1120699776916754,0.0015638965716386678,TRUE,Clade_B
VFG016018(gb|WP_003114501),2760,997,5980,1842,8740,2839,0.3157894736842105,0.3511799929552659,0.8527322418299853,4.942567630505816e-4,-0.03539051927105541,0.03539051927105541,1.1120699776916754,0.0015638965716386678,TRUE,Clade_B
VFG001252(gb|NP_249793),8712,2839,28,0,8740,2839,0.9967963386727688,1,0,5.994784750548583e-4,-0.0032036613272311554,0.0032036613272311554,1.0032139577594124,0.0018710253357494488,TRUE,Clade_B
VFG002057(gb|NP_248761),8705,2838,35,1,8740,2839,0.9959954233409611,0.9996477632969355,0.08764592924911488,7.421908512416037e-4,-0.0036523399559743597,0.0036523399559743597,1.0036670248380488,0.0022976866568802145,TRUE,Clade_B
VFG015365(gb|WP_011979122),8705,2838,35,1,8740,2839,0.9959954233409611,0.9996477632969355,0.08764592924911488,7.421908512416037e-4,-0.0036523399559743597,0.0036523399559743597,1.0036670248380488,0.0022976866568802145,TRUE,Clade_B
VFG015366(gb|WP_003083632),8705,2838,35,1,8740,2839,0.9959954233409611,0.9996477632969355,0.08764592924911488,7.421908512416037e-4,-0.0036523399559743597,0.0036523399559743597,1.0036670248380488,0.0022976866568802145,TRUE,Clade_B
VFG015412(gb|WP_011979128),8705,2838,35,1,8740,2839,0.9959954233409611,0.9996477632969355,0.08764592924911488,7.421908512416037e-4,-0.0036523399559743597,0.0036523399559743597,1.0036670248380488,0.0022976866568802145,TRUE,Clade_B
VFG019981(gb|WP_003106615),8705,2838,35,1,8740,2839,0.9959954233409611,0.9996477632969355,0.08764592924911488,7.421908512416037e-4,-0.0036523399559743597,0.0036523399559743597,1.0036670248380488,0.0022976866568802145,TRUE,Clade_B
VFG042740(gb|NP_252983),8705,2838,35,1,8740,2839,0.9959954233409611,0.9996477632969355,0.08764592924911488,7.421908512416037e-4,-0.0036523399559743597,0.0036523399559743597,1.0036670248380488,0.0022976866568802145,TRUE,Clade_B
VFG019945(gb|WP_003103203),8704,2838,36,1,8740,2839,0.9958810068649886,0.9996477632969355,0.08520157369750746,7.701365313855286e-4,-0.003766756431946905,0.003766756431946905,1.0037823358473363,0.0023745876384387134,TRUE,Clade_B
VFG029750(gb|WP_011857547),0,5,8740,2834,8740,2839,0,0.0017611835153222965,0,8.837232049705316e-4,-0.0017611835153222965,0.0017611835153222965,Inf,0.0027066235409911876,TRUE,Clade_B
VFG029751(gb|WP_011562667),0,5,8740,2834,8740,2839,0,0.0017611835153222965,0,8.837232049705316e-4,-0.0017611835153222965,0.0017611835153222965,Inf,0.0027066235409911876,TRUE,Clade_B
VFG036265,0,5,8740,2834,8740,2839,0,0.0017611835153222965,0,8.837232049705316e-4,-0.0017611835153222965,0.0017611835153222965,Inf,0.0027066235409911876,TRUE,Clade_B
VFG015040(gb|WP_012074800),2,7,8738,2832,8740,2839,2.288329519450801e-4,0.0024656569214512153,0.09262928688667309,0.0011790483454933273,-0.0022368239695061353,0.0022368239695061353,10.774920746741811,0.0035682544915061915,TRUE,Clade_B
VFG015560(gb|WP_012076619),1,6,8739,2833,8740,2839,1.1441647597254005e-4,0.0021134202183867557,0.054025024877558094,0.0011968916985235756,-0.0019990037424142157,0.0019990037424142157,18.471292708700243,0.0036174829465258004,TRUE,Clade_B
VFG002065(gb|NP_248769),8708,2838,32,1,8740,2839,0.9963386727688787,0.9996477632969355,0.09589560810884545,0.0018146204231884802,-0.003309090528056835,0.003309090528056835,1.0033212507137363,0.00544861158480939,TRUE,Clade_B
VFG015417(gb|WP_011979129),8708,2838,32,1,8740,2839,0.9963386727688787,0.9996477632969355,0.09589560810884545,0.0018146204231884802,-0.003309090528056835,0.003309090528056835,1.0033212507137363,0.00544861158480939,TRUE,Clade_B
VFG015418(gb|WP_003115052),8708,2838,32,1,8740,2839,0.9963386727688787,0.9996477632969355,0.09589560810884545,0.0018146204231884802,-0.003309090528056835,0.003309090528056835,1.0033212507137363,0.00544861158480939,TRUE,Clade_B
VFG019997(gb|WP_003115052),8708,2838,32,1,8740,2839,0.9963386727688787,0.9996477632969355,0.09589560810884545,0.0018146204231884802,-0.003309090528056835,0.003309090528056835,1.0033212507137363,0.00544861158480939,TRUE,Clade_B
VFG016106(gb|WP_012074240),108,59,8632,2780,8740,2839,0.012356979405034324,0.020781965480803098,0.5895597696033856,0.0019409770294627135,-0.008424986075768774,0.008424986075768774,1.6817997990946212,0.005790118732883569,TRUE,Clade_B
VFG002060(gb|NP_248764),8710,2838,30,1,8740,2839,0.9965675057208238,0.9996477632969355,0.1023120017288089,0.0028136802859346955,-0.0030802575761117446,0.0030802575761117446,1.003090866959267,0.008285728595550951,TRUE,Clade_B
VFG015386(gb|WP_011979125),8710,2838,30,1,8740,2839,0.9965675057208238,0.9996477632969355,0.1023120017288089,0.0028136802859346955,-0.0030802575761117446,0.0030802575761117446,1.003090866959267,0.008285728595550951,TRUE,Clade_B
VFG015387(gb|WP_003136961),8710,2838,30,1,8740,2839,0.9965675057208238,0.9996477632969355,0.1023120017288089,0.0028136802859346955,-0.0030802575761117446,0.0030802575761117446,1.003090866959267,0.008285728595550951,TRUE,Clade_B
VFG019987(gb|WP_004351957),8710,2838,30,1,8740,2839,0.9965675057208238,0.9996477632969355,0.1023120017288089,0.0028136802859346955,-0.0030802575761117446,0.0030802575761117446,1.003090866959267,0.008285728595550951,TRUE,Clade_B
VFG051822(gb|WP_012613443.1),3750,1307,4990,1532,8740,2839,0.4290617848970252,0.4603733709052483,0.880885910563824,0.003523456492987534,-0.03131158600822315,0.03131158600822315,1.072976869789832,0.010336073139275452,TRUE,Clade_B
VFG016121(gb|WP_012074236),397,168,8343,2671,8740,2839,0.045423340961098395,0.059175766114829165,0.7565611977109999,0.003623037335807774,-0.01375242515373077,0.01375242515373077,1.3027611985985061,0.010614620240540273,TRUE,Clade_B
VFG002063(gb|NP_248767),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG002064(gb|NP_248768),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG002070(gb|NP_248774),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG015403(gb|WP_011979127),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG015404(gb|WP_003111851),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG015413(gb|WP_003115051),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG015447(gb|WP_003151425),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG015448(gb|WP_003111626),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG019993(gb|WP_024082388),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG019995(gb|WP_012613437),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG020007(gb|WP_003104973),8712,2838,28,1,8740,2839,0.9967963386727688,0.9996477632969355,0.1096449970851851,0.0043862497799655314,-0.002851424624166654,0.002851424624166654,1.0028605889824629,0.012640775119649408,TRUE,Clade_B
VFG051647(gb|WP_012075686.1),8477,2782,263,57,8740,2839,0.9699084668192219,0.9799225079253259,0.6604391420490877,0.004508152079854462,-0.010014041106103932,0.010014041106103932,1.0103247280013388,0.01297578528379691,TRUE,Clade_B
VFG050297(gb|NP_250644),8694,2835,46,4,8740,2839,0.9947368421052631,0.9985910531877422,0.2666802539692048,0.004563355179741944,-0.0038542110824790754,0.0038542110824790754,1.0038746037337092,0.013118216519208047,TRUE,Clade_B
VFG015054(gb|WP_012076422),22,18,8718,2821,8740,2839,0.002517162471395881,0.0063402606551602675,0.39552823216837146,0.004898909614423398,-0.0038230981837643866,0.0038230981837643866,2.518812642095488,0.014065204825390835,TRUE,Clade_B
VFG041020(gb|NP_250353),8721,2839,19,0,8740,2839,0.9978260869565218,1,0,0.006667735297633261,-0.0021739130434782483,0.0021739130434782483,1.0021786492374727,0.01893042669897364,TRUE,Clade_B
VFG041021(gb|NP_250354),8721,2839,19,0,8740,2839,0.9978260869565218,1,0,0.006667735297633261,-0.0021739130434782483,0.0021739130434782483,1.0021786492374727,0.01893042669897364,TRUE,Clade_B
VFG051551(gb|WP_012614304.1),8721,2839,19,0,8740,2839,0.9978260869565218,1,0,0.006667735297633261,-0.0021739130434782483,0.0021739130434782483,1.0021786492374727,0.01893042669897364,TRUE,Clade_B
VFG051554(gb|WP_003140083.1),8721,2839,19,0,8740,2839,0.9978260869565218,1,0,0.006667735297633261,-0.0021739130434782483,0.0021739130434782483,1.0021786492374727,0.01893042669897364,TRUE,Clade_B
VFG013774(gb|WP_033998207),33,23,8707,2816,8740,2839,0.0037757437070938217,0.008101444170482565,0.46406084935224184,0.007271350403590573,-0.004325700463388743,0.004325700463388743,2.1456552136368976,0.02056779016749294,TRUE,Clade_B
VFG043648(gb|NP_252312),8637,2822,103,17,8740,2839,0.9882151029748284,0.9940119760479041,0.5051413749802429,0.007352178337109845,-0.005796873073075748,0.005796873073075748,1.0058660033181293,0.020770809243017222,TRUE,Clade_B
VFG013897(gb|WP_003084552),8374,2751,366,88,8740,2839,0.9581235697940503,0.9690031701303276,0.7319204616153802,0.008866225175375485,-0.010879600336277218,0.010879600336277218,1.0113551118866806,0.024803805551599223,TRUE,Clade_B
VFG041013(gb|NP_250203),7385,2455,1355,384,8740,2839,0.8449656750572082,0.8647411060232476,0.8525152028252581,0.01017178016105602,-0.019775430966039398,0.019775430966039398,1.023403827575245,0.02828371356298486,TRUE,Clade_B
VFG051663(gb|WP_003141825.1),8722,2839,18,0,8740,2839,0.9979405034324943,1,0,0.010932841419566524,-0.002059496567505703,0.002059496567505703,1.0020637468470535,0.030253242721936798,TRUE,Clade_B
VFG043589(gb|WP_000044536),2,5,8738,2834,8740,2839,2.288329519450801e-4,0.0017611835153222965,0.1297424392620233,0.011779172819562317,-0.0015323505633772164,0.0015323505633772164,7.696371961958436,0.03251675384846685,TRUE,Clade_B
VFG051543(gb|WP_003097804.1),8618,2816,122,23,8740,2839,0.9860411899313501,0.9918985558295175,0.5770051361793321,0.014805669540218586,-0.0058573658981673216,0.0058573658981673216,1.0059402852111838,0.04062704058045626,TRUE,Clade_B
VFG015905(gb|WP_164920559),2670,935,6070,1904,8740,2839,0.30549199084668194,0.32934131736526945,0.8957439742083496,0.017360843275014765,-0.02384932651858751,0.02384932651858751,1.078068581937249,0.0474611039992304,TRUE,Clade_B
VFG041018(gb|NP_250351),8724,2839,16,0,8740,2839,0.9981693363844394,1,0,0.01754447087678613,-0.0018306636155606126,0.0018306636155606126,1.0018340210912424,0.0474611039992304,TRUE,Clade_B
VFG051535(gb|WP_010794013.1),8724,2839,16,0,8740,2839,0.9981693363844394,1,0,0.01754447087678613,-0.0018306636155606126,0.0018306636155606126,1.0018340210912424,0.0474611039992304,TRUE,Clade_B
