Genome_ID,Clade,Niche,Genomovar_Cluster,Clone_Cluster
GCA_001765645.1,CladeA,CF,Cluster_28,Cluster_3686
GCA_001765655.1,CladeA,CF,Cluster_28,Cluster_3686
GCA_001765695.1,CladeA,CF,Cluster_28,Cluster_3686
GCA_001765715.1,CladeA,CF,Cluster_28,Cluster_3691
GCA_001765725.1,CladeA,CF,Cluster_28,Cluster_3692
GCA_001765755.1,CladeA,CF,Cluster_28,Cluster_3693
GCA_001765775.1,CladeA,CF,Cluster_28,Cluster_3694
GCA_001765795.1,CladeA,CF,Cluster_28,Cluster_3686
GCA_001765805.1,CladeA,CF,Cluster_28,Cluster_3695
GCA_001765845.1,CladeA,CF,Cluster_28,Cluster_3686
GCA_001765855.1,CladeA,CF,Cluster_28,Cluster_3696
GCA_001765865.1,CladeA,CF,Cluster_28,Cluster_3697
GCA_001765915.1,CladeA,CF,Cluster_28,Cluster_3698
GCA_001765925.1,CladeA,CF,Cluster_28,Cluster_3699
GCA_001765955.1,CladeA,CF,Cluster_28,Cluster_3700
GCA_001765975.1,CladeA,CF,Cluster_28,Cluster_3701
GCA_001765985.1,CladeA,CF,Cluster_28,Cluster_3702
GCA_001765995.1,CladeA,CF,Cluster_28,Cluster_3703
GCA_001766035.1,CladeA,CF,Cluster_28,Cluster_3704
GCA_001766045.1,CladeA,CF,Cluster_28,Cluster_3705
GCA_001766075.1,CladeA,CF,Cluster_28,Cluster_3706
GCA_001766085.1,CladeA,CF,Cluster_28,Cluster_3707
GCA_001766115.1,CladeA,CF,Cluster_28,Cluster_3708
GCA_001766135.1,CladeA,CF,Cluster_28,Cluster_3709
GCA_001766145.1,CladeA,CF,Cluster_28,Cluster_3686
GCA_001766195.1,CladeA,CF,Cluster_28,Cluster_3686
GCA_001792835.1,CladeA,Urinary,Cluster_43,Cluster_2241
GCA_001792855.1,CladeA,Lung,Cluster_43,Cluster_3710
GCA_001792875.1,CladeA,Blood,Cluster_43,Cluster_3711
GCA_001802735.1,CladeA,Blood,Cluster_43,Cluster_2241
GCA_001806505.1,CladeA,Blood,Cluster_43,Cluster_2241
GCA_001811215.1,CladeA,Lung,Cluster_58,Cluster_3712
GCA_001811975.1,CladeA,Wound,Cluster_31,Cluster_3713
GCA_001812145.1,CladeA,Lung,Cluster_24,Cluster_3714
GCA_001813995.1,CladeA,Wound,Cluster_56,Cluster_3715
GCA_001836505.1,CladeA,Lung,Cluster_34,Cluster_3716
GCA_001836645.1,CladeA,Lung,Cluster_60,Cluster_3717
GCA_001837545.1,CladeA,Sputum,Cluster_233,Cluster_3718
GCA_001870265.1,CladeA,Lung,Cluster_43,Cluster_3710
GCA_001874465.1,CladeB,Aquatic,Cluster_52,Cluster_3719
GCA_001900195.1,CladeA,Urinary,Cluster_103,Cluster_3066
GCA_001900225.1,CladeA,Urinary,Cluster_103,Cluster_3066
GCA_001990285.1,CladeA,early.CF,Cluster_2,Cluster_1949
GCA_001990295.1,CladeA,early.CF,Cluster_24,Cluster_3720
GCA_001990325.1,CladeA,CF,Cluster_22,Cluster_3721
GCA_001990335.1,CladeA,CF,Cluster_289,Cluster_3722
GCA_001990345.1,CladeA,early.CF,Cluster_22,Cluster_1935
GCA_001990375.1,CladeA,CF,Cluster_289,Cluster_3723
GCA_001990405.1,CladeA,CF,Cluster_60,Cluster_3724
GCA_001990425.1,CladeA,early.CF,Cluster_34,Cluster_3725
GCA_001990445.1,CladeA,CF,Cluster_2,Cluster_356
GCA_001990525.1,CladeA,CF,Cluster_2,Cluster_356
GCA_002001225.1,CladeA,early.CF,Cluster_24,Cluster_3720
GCA_002001235.1,CladeA,early.CF,Cluster_40,Cluster_3726
GCA_002001265.1,CladeA,early.CF,Cluster_225,Cluster_1937
GCA_002001275.1,CladeA,early.CF,Cluster_225,Cluster_1937
GCA_002001305.1,CladeA,CF,Cluster_60,Cluster_1075
GCA_002001315.1,CladeA,early.CF,Cluster_60,Cluster_1075
GCA_002001385.1,CladeA,early.CF,Cluster_289,Cluster_3723
GCA_002002365.1,CladeB,Urinary,Cluster_81,Cluster_3727
GCA_002002765.1,CladeB,Blood,Cluster_11,Cluster_3728
GCA_002005765.1,CladeA,early.CF,Cluster_60,Cluster_3724
GCA_002025525.1,CladeB,Aquatic,Cluster_416,Cluster_3729
GCA_002025555.1,CladeB,Aquatic,Cluster_416,Cluster_3730
GCA_002085755.1,CladeB,Lung,Cluster_11,Cluster_3731
GCA_002088215.1,CladeB,Blood,Cluster_16,Cluster_3732
GCA_002104595.1,CladeB,Sputum,Cluster_52,Cluster_1351
GCA_002104615.1,CladeB,Sputum,Cluster_52,Cluster_1351
GCA_002134835.1,CladeB,Urinary,Cluster_52,Cluster_1351
GCA_002134845.1,CladeB,Urinary,Cluster_52,Cluster_1351
GCA_002134885.1,CladeB,Lung,Cluster_52,Cluster_1351
GCA_002134895.1,CladeB,Wound,Cluster_52,Cluster_1351
GCA_002134905.1,CladeB,Urinary,Cluster_52,Cluster_1351
GCA_002134915.1,CladeB,Urinary,Cluster_52,Cluster_1351
GCA_002134965.1,CladeB,Urinary,Cluster_52,Cluster_1351
GCA_002134975.1,CladeB,Urinary,Cluster_52,Cluster_1351
GCA_002134985.1,CladeB,Urinary,Cluster_52,Cluster_1351
GCA_002135615.1,CladeA,Blood,Cluster_123,Cluster_3733
GCA_002135625.1,CladeA,Lung,Cluster_123,Cluster_3734
GCA_002135635.1,CladeB,Lung,Cluster_11,Cluster_3735
GCA_002135675.1,CladeB,Blood,Cluster_52,Cluster_3736
GCA_002135685.1,CladeB,Blood,Cluster_52,Cluster_3737
GCA_002135705.1,CladeA,Lung,Cluster_123,Cluster_3738
GCA_002135715.1,CladeA,Lung,Cluster_123,Cluster_3739
GCA_002135755.1,CladeA,Lung,Cluster_1,Cluster_3740
GCA_002135795.1,CladeA,Blood,Cluster_26,Cluster_1191
GCA_002135835.1,CladeA,Blood,Cluster_123,Cluster_3741
GCA_002135845.1,CladeA,Lung,Cluster_10,Cluster_3742
GCA_002135875.1,CladeA,Blood,Cluster_25,Cluster_3743
GCA_002135885.1,CladeA,Lung,Cluster_10,Cluster_3744
GCA_002135915.1,CladeA,Lung,Cluster_25,Cluster_3743
GCA_002135955.1,CladeA,Lung,Cluster_1,Cluster_3745
GCA_002135965.1,CladeA,Blood,Cluster_9,Cluster_3746
GCA_002135995.1,CladeA,Blood,Cluster_10,Cluster_3747
GCA_002136005.1,CladeA,Blood,Cluster_1,Cluster_3748
GCA_002136015.1,CladeA,Lung,Cluster_10,Cluster_3749
GCA_002136055.1,CladeA,Blood,Cluster_10,Cluster_3749
GCA_002136065.1,CladeA,Blood,Cluster_10,Cluster_3750
GCA_002136075.1,CladeA,Blood,Cluster_10,Cluster_3749
GCA_002136115.1,CladeA,Lung,Cluster_10,Cluster_3749
GCA_002136125.1,CladeA,Blood,Cluster_10,Cluster_3751
GCA_002136135.1,CladeA,Blood,Cluster_10,Cluster_3749
GCA_002136165.1,CladeA,Lung,Cluster_10,Cluster_13
GCA_002136195.1,CladeA,Lung,Cluster_123,Cluster_3752
GCA_002136205.1,CladeA,Lung,Cluster_123,Cluster_3753
GCA_002136215.1,CladeA,Lung,Cluster_10,Cluster_3754
GCA_002136245.1,CladeB,Lung,Cluster_11,Cluster_3755
GCA_002136275.1,CladeA,Blood,Cluster_1,Cluster_3756
GCA_002136285.1,CladeB,Blood,Cluster_11,Cluster_3757
GCA_002136295.1,CladeB,Blood,Cluster_16,Cluster_3758
GCA_002136335.1,CladeB,Blood,Cluster_11,Cluster_3759
GCA_002136355.1,CladeB,Blood,Cluster_52,Cluster_3760
GCA_002136365.1,CladeB,Blood,Cluster_52,Cluster_3761
GCA_002136375.1,CladeA,Lung,Cluster_123,Cluster_3762
GCA_002136415.1,CladeA,Lung,Cluster_1,Cluster_3763
GCA_002136445.1,CladeA,Blood,Cluster_10,Cluster_3749
GCA_002136455.1,CladeB,Lung,Cluster_11,Cluster_3764
GCA_002136495.1,CladeA,Lung,Cluster_123,Cluster_3765
GCA_002136515.1,CladeA,Lung,Cluster_123,Cluster_3766
GCA_002136525.1,CladeB,Blood,Cluster_11,Cluster_3757
GCA_002136535.1,CladeB,Blood,Cluster_16,Cluster_3767
GCA_002154915.1,CladeA,early.CF,Cluster_2,Cluster_1949
GCA_002188505.1,CladeB,Lung,Cluster_11,Cluster_3768
GCA_002188565.1,CladeA,Urinary,Cluster_1,Cluster_3769
GCA_002189115.1,CladeB,Urinary,Cluster_11,Cluster_3770
GCA_002189505.1,CladeA,Urinary,Cluster_24,Cluster_3771
GCA_002192475.1,CladeB,Pneumonia,Cluster_64,Cluster_468
GCA_002192495.1,CladeB,Pneumonia,Cluster_52,Cluster_3772
GCA_002192775.1,CladeA,Aquatic,Cluster_34,Cluster_3773
GCA_002193675.1,CladeA,Eye,Cluster_10,Cluster_3774
GCA_002193685.1,CladeA,Wound,Cluster_43,Cluster_3775
GCA_002193735.1,CladeA,Wound,Cluster_10,Cluster_3776
GCA_002193745.1,CladeA,Wound,Cluster_417,Cluster_3777
GCA_002193755.1,CladeA,Blood,Cluster_10,Cluster_3778
GCA_002193765.1,CladeA,Blood,Cluster_10,Cluster_3779
GCA_002193825.1,CladeB,Blood,Cluster_16,Cluster_3780
GCA_002193845.1,CladeA,Blood,Cluster_10,Cluster_3781
GCA_002193895.1,CladeA,Blood,Cluster_40,Cluster_3782
GCA_002193915.1,CladeA,Upper.Respiratory,Cluster_230,Cluster_3783
GCA_002193925.1,CladeA,Blood,Cluster_40,Cluster_3782
GCA_002193975.1,CladeB,Upper.Respiratory,Cluster_11,Cluster_3784
GCA_002194075.1,CladeA,Blood,Cluster_40,Cluster_3785
GCA_002194085.1,CladeA,Blood,Cluster_70,Cluster_3786
GCA_002194095.1,CladeA,Blood,Cluster_5,Cluster_3787
GCA_002201225.1,CladeB,Blood,Cluster_11,Cluster_3788
GCA_002201255.1,CladeB,Urinary,Cluster_11,Cluster_3788
GCA_002201295.1,CladeB,Blood,Cluster_81,Cluster_3789
GCA_002201375.1,CladeB,Blood,Cluster_11,Cluster_3788
GCA_002201405.1,CladeB,Urinary,Cluster_11,Cluster_3790
GCA_002204155.1,CladeA,Terrestrial,Cluster_61,Cluster_3791
GCA_002205335.1,CladeA,Pneumonia,Cluster_418,Cluster_3792
GCA_002205355.1,CladeB,Pneumonia,Cluster_64,Cluster_468
GCA_002205375.1,CladeA,Blood,Cluster_43,Cluster_3793
GCA_002206285.2,CladeA,Lung,Cluster_10,Cluster_3794
GCA_002216325.1,CladeA,Terrestrial,Cluster_34,Cluster_3795
GCA_002216335.1,CladeA,Terrestrial,Cluster_230,Cluster_1470
GCA_002216345.1,CladeA,Aquatic,Cluster_31,Cluster_3796
GCA_002216355.1,CladeA,Aquatic,Cluster_237,Cluster_3797
GCA_002216405.1,CladeA,Ear,Cluster_43,Cluster_3798
GCA_002216425.1,CladeA,Terrestrial,Cluster_31,Cluster_3796
GCA_002216445.1,CladeA,Aquatic,Cluster_20,Cluster_3799
GCA_002216465.1,CladeB,Aquatic,Cluster_64,Cluster_3800
GCA_002216485.1,CladeA,Terrestrial,Cluster_31,Cluster_3796
GCA_002216505.1,CladeA,Aquatic,Cluster_34,Cluster_3801
GCA_002237405.1,CladeB,Ocean,Cluster_57,Cluster_3802
GCA_002237425.1,CladeB,Ocean,Cluster_57,Cluster_3802
GCA_002239425.1,CladeA,Plant,Cluster_5,Cluster_3803
GCA_002239445.1,CladeA,Plant,Cluster_5,Cluster_3804
GCA_002239465.1,CladeA,Aquatic,Cluster_10,Cluster_3805
GCA_002239485.1,CladeA,Aquatic,Cluster_70,Cluster_3806
GCA_002239545.1,CladeB,Plant,Cluster_156,Cluster_3807
GCA_002239565.1,CladeA,Plant,Cluster_419,Cluster_3808
GCA_002242775.1,CladeB,Eye,Cluster_52,Cluster_3809
GCA_002242855.1,CladeB,Eye,Cluster_12,Cluster_3810
GCA_002242885.1,CladeA,Eye,Cluster_51,Cluster_3811
GCA_002242915.1,CladeA,Eye,Cluster_41,Cluster_3812
GCA_002243265.1,CladeA,Eye,Cluster_325,Cluster_3813
GCA_002251125.1,CladeA,Blood,Cluster_227,Cluster_3814
GCA_002263545.1,CladeB,Ocean,Cluster_57,Cluster_3802
GCA_002263575.1,CladeB,Ocean,Cluster_55,Cluster_3815
GCA_002263585.1,CladeB,Ocean,Cluster_57,Cluster_3802
GCA_002263615.1,CladeB,Ocean,Cluster_57,Cluster_3802
GCA_002263645.1,CladeB,Ocean,Cluster_163,Cluster_610
GCA_002263685.1,CladeA,Ocean,Cluster_60,Cluster_3816
GCA_002276485.1,CladeA,CF,Cluster_146,Cluster_496
GCA_002285345.1,CladeA,Aquatic,Cluster_161,Cluster_3817
GCA_002285355.1,CladeA,Terrestrial,Cluster_103,Cluster_3818
GCA_002285375.1,CladeA,Aquatic,Cluster_10,Cluster_3819
GCA_002287725.2,CladeB,Aquatic,Cluster_57,Cluster_3820
GCA_002312055.1,CladeA,Sputum,Cluster_36,Cluster_3821
GCA_002312065.1,CladeA,Sputum,Cluster_2,Cluster_3822
GCA_002312095.1,CladeA,Sputum,Cluster_2,Cluster_356
GCA_002312115.1,CladeA,Sputum,Cluster_24,Cluster_3823
GCA_002312145.1,CladeB,Aquatic,Cluster_126,Cluster_3824
GCA_002312175.1,CladeB,Aquatic,Cluster_57,Cluster_3825
GCA_002312195.1,CladeB,Aquatic,Cluster_57,Cluster_3820
GCA_002312215.1,CladeB,Aquatic,Cluster_57,Cluster_3820
GCA_002312235.1,CladeA,Lung,Cluster_252,Cluster_3826
GCA_002312245.1,CladeB,Aquatic,Cluster_57,Cluster_3827
GCA_002312275.1,CladeB,Aquatic,Cluster_374,Cluster_3828
GCA_002312295.1,CladeB,Aquatic,Cluster_126,Cluster_3829
GCA_002312315.1,CladeB,Aquatic,Cluster_126,Cluster_3830
GCA_002312335.1,CladeB,Aquatic,Cluster_126,Cluster_3829
GCA_002312375.1,CladeA,Lung,Cluster_2,Cluster_3831
GCA_002312385.1,CladeA,Lung,Cluster_2,Cluster_356
GCA_002312405.1,CladeA,Lung,Cluster_10,Cluster_3832
GCA_002312415.1,CladeA,Lung,Cluster_34,Cluster_3833
GCA_002312455.1,CladeA,Lung,Cluster_82,Cluster_2948
GCA_002312465.1,CladeA,Lung,Cluster_252,Cluster_3826
GCA_002312495.1,CladeA,Lung,Cluster_24,Cluster_3823
GCA_002312505.1,CladeA,Lung,Cluster_24,Cluster_3823
GCA_002312535.1,CladeA,Sputum,Cluster_20,Cluster_3834
GCA_002312545.1,CladeA,Sputum,Cluster_10,Cluster_3835
GCA_002312585.1,CladeB,Aquatic,Cluster_57,Cluster_3836
GCA_002312615.1,CladeA,Lung,Cluster_278,Cluster_3837
GCA_002312645.1,CladeB,Aquatic,Cluster_126,Cluster_3829
GCA_002312675.1,CladeB,Aquatic,Cluster_126,Cluster_3838
GCA_002312685.1,CladeB,Aquatic,Cluster_374,Cluster_3828
GCA_002312695.1,CladeA,Lung,Cluster_103,Cluster_3839
GCA_002312705.1,CladeA,Lung,Cluster_24,Cluster_3823
GCA_002312755.1,CladeA,Lung,Cluster_53,Cluster_3840
GCA_002312765.1,CladeA,Lung,Cluster_24,Cluster_3823
GCA_002312795.1,CladeA,Lung,Cluster_24,Cluster_3841
GCA_002325925.1,CladeA,Aquatic,Cluster_83,Cluster_3842
GCA_002325965.1,CladeA,Aquatic,Cluster_5,Cluster_3843
GCA_002325985.1,CladeA,Aquatic,Cluster_24,Cluster_3844
GCA_002326025.1,CladeB,Aquatic,Cluster_112,Cluster_3845
GCA_002326045.1,CladeB,Built.Environment,Cluster_17,Cluster_3846
GCA_002326055.1,CladeB,Built.Environment,Cluster_17,Cluster_3846
GCA_002326085.1,CladeA,Terrestrial,Cluster_94,Cluster_3847
GCA_002326115.1,CladeA,Aquatic,Cluster_111,Cluster_3848
GCA_002326125.1,CladeA,Aquatic,Cluster_62,Cluster_3849
GCA_002326165.1,CladeB,Built.Environment,Cluster_52,Cluster_3850
GCA_002326195.1,CladeA,Terrestrial,Cluster_386,Cluster_3851
GCA_002326205.1,CladeA,Terrestrial,Cluster_211,Cluster_3852
GCA_002326245.1,CladeA,Terrestrial,Cluster_211,Cluster_3852
GCA_002326265.1,CladeA,Terrestrial,Cluster_30,Cluster_94
GCA_002326275.1,CladeA,Terrestrial,Cluster_30,Cluster_94
GCA_002326305.1,CladeA,Terrestrial,Cluster_30,Cluster_94
GCA_002326325.1,CladeA,Plant,Cluster_229,Cluster_3853
GCA_002326345.1,CladeA,Hospital.Environment,Cluster_1,Cluster_3854
GCA_002326355.1,CladeA,Built.Environment,Cluster_10,Cluster_3855
GCA_002326365.1,CladeA,Built.Environment,Cluster_5,Cluster_3856
GCA_002326395.1,CladeA,Terrestrial,Cluster_128,Cluster_3857
GCA_002326425.1,CladeB,Built.Environment,Cluster_64,Cluster_3858
GCA_002326435.1,CladeA,Built.Environment,Cluster_40,Cluster_3859
GCA_002326445.1,CladeB,Built.Environment,Cluster_365,Cluster_3860
GCA_002326455.1,CladeA,Aquatic,Cluster_420,Cluster_3861
GCA_002326505.1,CladeA,Aquatic,Cluster_24,Cluster_3862
GCA_002326515.1,CladeA,Terrestrial,Cluster_35,Cluster_3863
GCA_002326525.1,CladeA,Terrestrial,Cluster_24,Cluster_3864
GCA_002326535.1,CladeA,Aquatic,Cluster_229,Cluster_3853
GCA_002326585.1,CladeA,Hospital.Environment,Cluster_5,Cluster_3865
GCA_002326595.1,CladeA,Aquatic,Cluster_421,Cluster_3866
GCA_002326605.1,CladeA,Built.Environment,Cluster_35,Cluster_342
GCA_002326665.1,CladeA,Aquatic,Cluster_20,Cluster_3867
GCA_002326675.1,CladeA,Aquatic,Cluster_24,Cluster_3868
GCA_002326685.1,CladeA,Aquatic,Cluster_420,Cluster_3861
GCA_002326725.1,CladeA,Aquatic,Cluster_5,Cluster_3869
GCA_002326745.1,CladeA,Built.Environment,Cluster_175,Cluster_3870
GCA_002329725.1,CladeA,Aquatic,Cluster_10,Cluster_3819
GCA_002329735.1,CladeA,Aquatic,Cluster_10,Cluster_3819
GCA_002329765.1,CladeA,Terrestrial,Cluster_30,Cluster_94
GCA_002329775.1,CladeA,Terrestrial,Cluster_30,Cluster_94
GCA_002329805.1,CladeA,Terrestrial,Cluster_24,Cluster_3871
GCA_002329815.1,CladeA,Terrestrial,Cluster_24,Cluster_3871
GCA_002329845.1,CladeA,Terrestrial,Cluster_24,Cluster_3871
GCA_002329865.1,CladeA,Terrestrial,Cluster_103,Cluster_3818
GCA_002329885.1,CladeA,Terrestrial,Cluster_103,Cluster_3818
GCA_002329905.1,CladeA,Terrestrial,Cluster_103,Cluster_3818
GCA_002329925.1,CladeA,Aquatic,Cluster_161,Cluster_3817
GCA_002329935.1,CladeA,Aquatic,Cluster_161,Cluster_3817
GCA_002329965.1,CladeA,Aquatic,Cluster_82,Cluster_3872
GCA_002329975.1,CladeA,Aquatic,Cluster_82,Cluster_3872
GCA_002330005.1,CladeA,Terrestrial,Cluster_30,Cluster_94
GCA_002330015.1,CladeA,Terrestrial,Cluster_103,Cluster_3818
GCA_002330045.1,CladeA,Terrestrial,Cluster_103,Cluster_3818
GCA_002330065.1,CladeA,Terrestrial,Cluster_30,Cluster_94
GCA_002330075.1,CladeA,Aquatic,Cluster_24,Cluster_3873
GCA_002330095.1,CladeA,Aquatic,Cluster_24,Cluster_3873
GCA_002330125.1,CladeA,Hospital.Environment,Cluster_40,Cluster_3874
GCA_002330135.1,CladeA,Built.Environment,Cluster_9,Cluster_3875
GCA_002330165.1,CladeA,Built.Environment,Cluster_35,Cluster_342
GCA_002330175.1,CladeA,Terrestrial,Cluster_24,Cluster_3876
GCA_002330205.1,CladeA,Terrestrial,Cluster_61,Cluster_3877
GCA_002330215.1,CladeA,Terrestrial,Cluster_24,Cluster_3878
GCA_002330235.1,CladeA,Terrestrial,Cluster_20,Cluster_3867
GCA_002330255.1,CladeB,Built.Environment,Cluster_126,Cluster_3879
GCA_002330275.1,CladeA,Aquatic,Cluster_175,Cluster_3870
GCA_002330305.1,CladeA,Built.Environment,Cluster_35,Cluster_342
GCA_002330315.1,CladeB,Built.Environment,Cluster_260,Cluster_3880
GCA_002330355.1,CladeA,Aquatic,Cluster_75,Cluster_3881
GCA_002330385.1,CladeA,Built.Environment,Cluster_60,Cluster_3882
GCA_002330395.1,CladeB,Aquatic,Cluster_126,Cluster_3883
GCA_002330425.1,CladeB,Aquatic,Cluster_52,Cluster_3884
GCA_002330435.1,CladeA,Built.Environment,Cluster_60,Cluster_3885
GCA_002330465.1,CladeA,Terrestrial,Cluster_34,Cluster_3886
GCA_002330475.1,CladeA,Aquatic,Cluster_117,Cluster_3887
GCA_002330505.1,CladeB,Hospital.Environment,Cluster_17,Cluster_3888
GCA_002330515.1,CladeA,Built.Environment,Cluster_5,Cluster_3869
GCA_002330525.1,CladeB,Built.Environment,Cluster_64,Cluster_153
GCA_002330555.1,CladeA,Aquatic,Cluster_175,Cluster_3889
GCA_002330585.1,CladeA,Aquatic,Cluster_24,Cluster_3878
GCA_002330595.1,CladeA,Aquatic,Cluster_34,Cluster_3890
GCA_002330625.1,CladeA,Aquatic,Cluster_26,Cluster_3891
GCA_002330665.1,CladeA,Aquatic,Cluster_20,Cluster_287
GCA_002330695.1,CladeB,Built.Environment,Cluster_260,Cluster_3880
GCA_002330725.1,CladeA,Aquatic,Cluster_35,Cluster_3892
GCA_002330735.1,CladeA,Aquatic,Cluster_34,Cluster_3893
GCA_002330775.1,CladeA,Aquatic,Cluster_34,Cluster_3894
GCA_002330805.1,CladeA,Aquatic,Cluster_115,Cluster_3895
GCA_002330815.1,CladeA,Aquatic,Cluster_230,Cluster_3896
GCA_002330835.1,CladeA,Built.Environment,Cluster_9,Cluster_1132
GCA_002330865.1,CladeA,Aquatic,Cluster_1,Cluster_3897
GCA_002330875.1,CladeA,Aquatic,Cluster_10,Cluster_3898
GCA_002330885.1,CladeA,Built.Environment,Cluster_422,Cluster_3899
GCA_002330925.1,CladeA,Built.Environment,Cluster_10,Cluster_3900
GCA_002330955.1,CladeB,Built.Environment,Cluster_126,Cluster_386
GCA_002331985.1,CladeB,Built.Environment,Cluster_17,Cluster_3901
GCA_002331995.1,CladeB,Built.Environment,Cluster_11,Cluster_3902
GCA_002332015.1,CladeA,Aquatic,Cluster_175,Cluster_3870
GCA_002332035.1,CladeA,Built.Environment,Cluster_175,Cluster_3870
GCA_002332065.1,CladeB,Built.Environment,Cluster_52,Cluster_3903
GCA_002332085.1,CladeB,Built.Environment,Cluster_260,Cluster_3880
GCA_002332095.1,CladeA,Terrestrial,Cluster_139,Cluster_3904
GCA_002332125.1,CladeA,Built.Environment,Cluster_2,Cluster_3905
GCA_002332135.1,CladeA,Aquatic,Cluster_26,Cluster_3891
GCA_002332165.1,CladeA,Built.Environment,Cluster_9,Cluster_1132
GCA_002332175.1,CladeA,Built.Environment,Cluster_60,Cluster_3882
GCA_002338845.1,CladeB,Animal,Cluster_423,Cluster_3906
GCA_002379565.1,CladeB,Animal,Cluster_423,Cluster_3906
GCA_002411865.3,CladeA,Urinary,Cluster_1,Cluster_377
GCA_002411915.1,CladeB,Wound,Cluster_16,Cluster_3907
GCA_002516415.1,CladeA,Aquatic,Cluster_24,Cluster_3873
GCA_002591765.1,CladeA,Lung,Cluster_162,Cluster_3908
GCA_002724075.1,CladeB,Urinary,Cluster_81,Cluster_627
GCA_002812865.1,CladeA,Urinary,Cluster_157,Cluster_3909
GCA_002812885.1,CladeA,Urinary,Cluster_157,Cluster_3909
GCA_002812905.2,CladeB,Sputum,Cluster_11,Cluster_3910
GCA_002812925.3,CladeB,Lung,Cluster_11,Cluster_3910
GCA_002866725.1,CladeB,Pneumonia,Cluster_52,Cluster_3911
GCA_002866745.1,CladeA,Pneumonia,Cluster_10,Cluster_3912
GCA_002866765.1,CladeB,Pneumonia,Cluster_12,Cluster_3913
GCA_002866805.1,CladeB,Pneumonia,Cluster_52,Cluster_3914
GCA_002896925.1,CladeB,Waste.Water,Cluster_126,Cluster_3915
GCA_002914495.1,CladeA,Animal,Cluster_5,Cluster_3916
GCA_002915235.1,CladeA,Aquatic,Cluster_58,Cluster_3917
GCA_002915615.1,CladeB,Wound,Cluster_424,Cluster_3918
GCA_002927035.1,CladeA,Sputum,Cluster_1,Cluster_3919
GCA_002927135.1,CladeA,Sputum,Cluster_1,Cluster_3919
GCA_002927155.1,CladeA,Blood,Cluster_10,Cluster_3920
GCA_002927195.1,CladeA,Ocean,Cluster_10,Cluster_3620
GCA_002927215.1,CladeA,Blood,Cluster_24,Cluster_172
GCA_002927235.1,CladeA,Blood,Cluster_1,Cluster_3919
GCA_002942025.1,CladeA,Blood,Cluster_213,Cluster_3921
GCA_002964255.1,CladeA,Blood,Cluster_5,Cluster_3922
GCA_002964275.1,CladeB,Blood,Cluster_151,Cluster_3923
GCA_002964295.1,CladeA,Blood,Cluster_36,Cluster_1621
GCA_003008395.1,CladeA,CF,Cluster_371,Cluster_2855
GCA_003028335.1,CladeB,Wound,Cluster_11,Cluster_3621
GCA_003032395.1,CladeC,Ocean,Cluster_406,Cluster_3924
GCA_003055225.1,CladeA,Blood,Cluster_150,Cluster_3925
GCA_003055235.1,CladeA,Blood,Cluster_5,Cluster_3926
GCA_003055265.1,CladeA,Blood,Cluster_43,Cluster_321
GCA_003055295.1,CladeB,Blood,Cluster_17,Cluster_3927
GCA_003055325.1,CladeB,Blood,Cluster_425,Cluster_3928
GCA_003055345.1,CladeB,Blood,Cluster_11,Cluster_3929
GCA_003055365.1,CladeB,Blood,Cluster_11,Cluster_3930
GCA_003055385.1,CladeA,Blood,Cluster_96,Cluster_3931
GCA_003055405.1,CladeA,Blood,Cluster_5,Cluster_3932
GCA_003055425.1,CladeA,Blood,Cluster_247,Cluster_3933
GCA_003055445.1,CladeA,Blood,Cluster_40,Cluster_3934
GCA_003055465.1,CladeA,Blood,Cluster_148,Cluster_3935
GCA_003055485.1,CladeB,Blood,Cluster_11,Cluster_3936
GCA_003055505.1,CladeA,Blood,Cluster_14,Cluster_3937
GCA_003055525.1,CladeB,Blood,Cluster_330,Cluster_3938
GCA_003055545.1,CladeA,Blood,Cluster_141,Cluster_3939
GCA_003055555.1,CladeA,Blood,Cluster_35,Cluster_3940
GCA_003055585.1,CladeA,Blood,Cluster_35,Cluster_3941
GCA_003060845.1,CladeB,Terrestrial,Cluster_176,Cluster_3942
GCA_003071265.1,CladeA,Blood,Cluster_68,Cluster_3943
GCA_003143795.1,CladeA,Pneumonia,Cluster_1,Cluster_27
GCA_003143815.1,CladeB,Pneumonia,Cluster_11,Cluster_3489
GCA_003176695.1,CladeA,Aquatic,Cluster_426,Cluster_3944
GCA_003185875.1,CladeB,Ocean,Cluster_159,Cluster_3945
GCA_003194245.1,CladeA,Sputum,Cluster_9,Cluster_3946
GCA_003204515.1,CladeA,Blood,Cluster_43,Cluster_3947
GCA_003206535.1,CladeA,Lung,Cluster_26,Cluster_3948
GCA_003321505.1,CladeA,Animal,Cluster_220,Cluster_3949
GCA_003324555.1,CladeB,Blood,Cluster_52,Cluster_3950
GCA_003332375.1,CladeA,CF,Cluster_211,Cluster_899
GCA_003332385.1,CladeA,CF,Cluster_146,Cluster_496
GCA_003332415.1,CladeA,CF,Cluster_211,Cluster_899
GCA_003332425.1,CladeA,CF,Cluster_5,Cluster_590
GCA_003332455.1,CladeB,Eye,Cluster_64,Cluster_153
GCA_003332475.1,CladeA,CF,Cluster_146,Cluster_496
GCA_003332485.1,CladeA,CF,Cluster_211,Cluster_899
GCA_003332525.1,CladeA,CF,Cluster_18,Cluster_3951
GCA_003332535.1,CladeA,CF,Cluster_173,Cluster_3952
